feature,importance
num__f_internship_required,0.05348613256399262
num__f_fresh_graduate_allowed,0.05120086735338901
num__f_education_s1,0.050054482357855236
num__f_major_business,0.04685142687502135
num__f_english_required,0.0463623818273306
num__f_project_required,0.04573019565781616
cat__region_group_jabodetabek,0.04546090887993407
num__f_work_experience_required,0.040918609666354924
num__f_computer_skill_required,0.040484380529812035
num__f_major_engineering,0.03785843027787782
num__f_communication_required,0.03642457309090424
num__f_experience_years_min,0.036171218701827074
cat__job_family_data,0.03495096267711619
num__f_teamwork_required,0.034611053101389004
cat__job_family_business,0.0315763377596251
cat__region_group_lainnya,0.02959966865220374
num__f_education_d3,0.027163900751254303
num__f_certificate_required,0.025750002483806038
cat__job_family_other,0.025149136358642014
num__f_event_committee,0.024523003934365108
cat__job_family_software,0.023604455520232114
num__f_leadership_required,0.022126742075270073
num__f_portfolio_required,0.021604083417106124
cat__region_group_jawa tengah diy,0.02013508508305785
num__f_organization_required,0.01931597372587646
cat__job_family_administration,0.01909564850382169
cat__job_family_finance,0.017918562321016147
cat__region_group_jawa timur,0.01424782202339212
num__f_education_s2,0.012504364404030813
num__f_ipk_required,0.012451866574938977
num__f_min_gpa,0.010478114139329602
cat__job_family_engineering,0.008194310523468898
cat__region_group_jawa barat,0.007839294832911544
cat__region_group_sumatera,0.007766971039238981
num__f_major_it,0.0069873581989978156
num__f_academic_achievement,0.005356841367145359
num__f_transcript_required,0.0020210876425457848
cat__region_group_sulawesi,0.0015329418932415052
num__f_student_cadre_proxy,0.0012943040027797708
cat__region_group_kalimantan,0.0010242655044766585
num__f_scholarship,0.0001722337066051903
